procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9191558441558442,9
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192207792207793,10
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,11
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,12
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9193506493506494,13
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9193506493506494,14
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,15
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,16
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,17
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,18
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192857142857143,19
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9335353535353536,0
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9284848484848485,1
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9393939393939394,2
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9486868686868687,3
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9480808080808081,4
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9537373737373738,5
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9555555555555556,6
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,7
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,8
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,9
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,10
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,11
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,12
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,13
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,14
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,15
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,16
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,17
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,18
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,1,944.515228509903,0.9551515151515152,19
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9432061240571878,0
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9413486434763031,1
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9365642237982663,2
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9472025216706068,3
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9472588089609366,4
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9463582123156591,5
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9461330631543398,6
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9461893504446696,7
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9461893504446696,8
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468085106382979,9
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468085106382979,10
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468085106382979,11
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468085106382979,12
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468085106382979,13
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468647979286278,14
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468647979286278,15
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468647979286278,16
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468647979286278,17
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468647979286278,18
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,1,1076.913952589035,0.9468647979286278,19
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9623438027693347,0
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9642575706405494,1
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9678599572216593,2
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.96763480806034,3
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.971574918383429,4
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9717437802544185,5
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9712934819317798,6
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9721940785770573,7
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9715186310930992,8
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9718000675447483,9
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9716874929640887,10
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,11
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,12
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,13
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,14
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,15
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,16
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,17
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,18
GeneticPopulationHandler,discrimination_power_based_query,HDI_1and3_quartiles,0,1183.3346810340881,0.9711246200607903,19
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.935959595959596,0
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9571717171717171,1
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9533333333333334,2
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9523232323232323,3
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9535353535353536,4
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9565656565656566,5
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9557575757575758,6
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9557575757575758,7
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9565656565656566,8
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9565656565656566,9
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,10
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,11
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,12
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,13
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,3060.9300360679626,0.9567676767676768,14
